                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7264,                 7.1745,                 1.8439,                0.32747,                0.16925,                0.14423,                 0.0541,                 1.9915,                 2.9055,                 1.3442,              0.0006659,              0.0006659,              0.0006659
                      2,                 2.6013,                 3.1875,                 1.8171,                0.38365,                 0.2205,                 0.2013,                0.08073,                 1.9037,                 2.7308,                  1.324,              0.0013123,              0.0013123,              0.0013123
                      3,                 2.5789,                 2.9519,                 1.8103,                0.45497,                0.17759,                0.19347,                0.08006,                 1.9934,                 2.7091,                 1.4157,              0.0019383,              0.0019383,              0.0019383
                      4,                 2.5222,                 2.8756,                 1.7721,                0.37194,                0.21978,                 0.2269,                0.08375,                  1.883,                 3.4441,                 1.3143,              0.0019086,              0.0019086,              0.0019086
                      5,                 2.4862,                 2.6978,                 1.7349,                0.53132,                0.22533,                 0.2424,                0.09748,                 1.9426,                 2.4718,                 1.3394,              0.0018782,              0.0018782,              0.0018782
                      6,                  2.455,                 2.6293,                 1.7237,                0.38009,                0.25776,                0.23394,                0.08233,                 1.8872,                 2.7161,                 1.2211,              0.0018477,              0.0018477,              0.0018477
                      7,                   2.38,                 2.5846,                 1.6848,                0.56332,                0.17081,                0.18943,                0.07841,                  1.918,                 6.8271,                 1.3519,              0.0018172,              0.0018172,              0.0018172
                      8,                 2.3735,                 2.5524,                 1.6699,                0.48159,                0.26831,                0.26176,                0.10842,                 1.8151,                 2.3986,                 1.2064,              0.0017868,              0.0017868,              0.0017868
                      9,                 2.3558,                 2.5157,                 1.6751,                 0.5482,                0.23292,                   0.26,                0.10683,                 1.7965,                 2.6982,                  1.225,              0.0017563,              0.0017563,              0.0017563
                     10,                 2.3649,                 2.5097,                  1.655,                0.49451,                0.25932,                0.27013,                0.11411,                 1.7033,                 2.2482,                  1.193,              0.0017258,              0.0017258,              0.0017258
