                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7135,                 6.5822,                 1.8176,                0.46412,                0.22448,                 0.2064,                0.07249,                 1.7328,                  4.818,                 1.1752,             0.00066599,             0.00066599,             0.00066599
                      2,                 2.5998,                 3.0888,                 1.8284,                 0.4366,                0.22067,                0.21367,                0.06219,                 1.7506,                 6.5083,                 1.1623,              0.0013099,              0.0013099,              0.0013099
                      3,                 2.5633,                 2.9423,                 1.8171,                0.52304,                0.19965,                0.22615,                0.06992,                 1.7156,                 6.4414,                  1.212,              0.0019311,              0.0019311,              0.0019311
                      4,                 2.5297,                 2.8204,                 1.7932,                0.53152,                0.17688,                0.16848,                0.05537,                 1.7445,                 37.476,                 1.1652,              0.0018976,              0.0018976,              0.0018976
                      5,                 2.4554,                 2.7007,                 1.7625,                0.61944,                0.14098,                0.16125,                0.05608,                 1.7763,                 9.6142,                 1.2135,              0.0018976,              0.0018976,              0.0018976
                      6,                 2.4344,                 2.5968,                 1.7218,                0.53671,                0.28109,                0.27671,                0.09416,                 1.6113,                 2.5329,                 1.0746,              0.0018634,              0.0018634,              0.0018634
                      7,                 2.4173,                 2.6096,                 1.6998,                   0.63,                0.28627,                0.31884,                0.11026,                 1.5938,                 2.6567,                 1.0639,              0.0018293,              0.0018293,              0.0018293
                      8,                 2.3759,                 2.5156,                 1.6957,                0.67445,                0.24128,                0.28128,                0.10543,                 1.5826,                 3.8199,                 1.0737,              0.0017952,              0.0017952,              0.0017952
                      9,                 2.3713,                 2.5273,                  1.693,                0.65092,                0.28248,                0.33113,                0.12614,                 1.5639,                 2.0053,                 1.0529,               0.001761,               0.001761,               0.001761
                     10,                 2.3359,                 2.5265,                  1.687,                0.69723,                0.27408,                0.33046,                0.12837,                 1.5896,                 2.2184,                 1.0875,              0.0017269,              0.0017269,              0.0017269
                     11,                 2.3254,                 2.4899,                 1.6513,                0.58032,                0.34146,                0.35933,                0.13784,                 1.5116,                 4.5054,                 1.0401,              0.0016928,              0.0016928,              0.0016928
                     12,                 2.3195,                 2.4048,                 1.6639,                0.57169,                0.31436,                0.34568,                0.12483,                 1.5159,                 2.7715,                 1.0258,              0.0016586,              0.0016586,              0.0016586
                     13,                 2.2917,                 2.3901,                 1.6297,                0.62814,                0.31949,                0.35538,                0.13987,                 1.5152,                 2.2727,                 1.0144,              0.0016245,              0.0016245,              0.0016245
                     14,                 2.2818,                 2.3683,                 1.6417,                0.53857,                0.29947,                  0.326,                0.11148,                 1.5624,                 2.2124,                 1.0079,              0.0015903,              0.0015903,              0.0015903
                     15,                 2.2625,                 2.3421,                 1.6239,                 0.6312,                0.36118,                0.39674,                0.15759,                 1.4407,                 2.3948,                0.96002,              0.0015562,              0.0015562,              0.0015562
                     16,                 2.2368,                 2.3379,                 1.6056,                0.62415,                0.31699,                0.35206,                0.14049,                 1.5063,                 2.1902,                 1.0164,              0.0015221,              0.0015221,              0.0015221
                     17,                 2.2329,                  2.313,                 1.5856,                0.63439,                0.27957,                0.31041,                0.12028,                 1.5507,                 3.1934,                 1.0454,              0.0014879,              0.0014879,              0.0014879
                     18,                 2.2187,                  2.269,                  1.593,                0.59678,                0.34939,                0.37366,                0.14499,                 1.4889,                 3.3619,                 0.9979,              0.0014538,              0.0014538,              0.0014538
                     19,                 2.2028,                 2.2955,                 1.5863,                0.66167,                0.34593,                0.39046,                0.15094,                 1.4734,                 2.2221,                0.99112,              0.0014197,              0.0014197,              0.0014197
                     20,                 2.1897,                 2.2515,                 1.5767,                0.65416,                0.31967,                0.36504,                0.14024,                 1.4861,                 3.3923,                 1.0206,              0.0013855,              0.0013855,              0.0013855
                     21,                 2.1741,                 2.2266,                  1.571,                0.60586,                0.36882,                0.40096,                0.15626,                 1.4495,                 2.8354,                0.99057,              0.0013514,              0.0013514,              0.0013514
                     22,                 2.1636,                 2.1934,                 1.5448,                 0.6182,                0.37303,                0.41173,                0.16745,                 1.4261,                 2.7323,                0.96726,              0.0013172,              0.0013172,              0.0013172
                     23,                  2.152,                 2.1827,                 1.5467,                0.65157,                0.36352,                0.41077,                0.15976,                 1.4358,                 2.2316,                0.97961,              0.0012831,              0.0012831,              0.0012831
                     24,                 2.1642,                  2.198,                 1.5635,                0.59486,                0.36252,                0.40109,                0.16067,                 1.4559,                 2.3241,                0.98291,               0.001249,               0.001249,               0.001249
                     25,                 2.1367,                 2.1289,                  1.533,                0.59499,                0.36602,                0.39208,                0.15406,                  1.422,                 2.6434,                0.97271,              0.0012148,              0.0012148,              0.0012148
                     26,                 2.1456,                 2.1628,                 1.5327,                0.67467,                0.37916,                0.43969,                0.16947,                  1.395,                  2.215,                0.94113,              0.0011807,              0.0011807,              0.0011807
                     27,                 2.1183,                 2.1353,                 1.5267,                0.63894,                0.35021,                0.39725,                0.15248,                 1.4364,                 2.3191,                0.94734,              0.0011466,              0.0011466,              0.0011466
                     28,                 2.1205,                   2.13,                  1.526,                0.59997,                0.37303,                0.41869,                0.16486,                 1.4304,                  2.271,                 0.9447,              0.0011124,              0.0011124,              0.0011124
                     29,                 2.1129,                 2.1196,                 1.5279,                0.62614,                0.38967,                0.44066,                0.17335,                 1.4301,                 2.2402,                0.94938,              0.0010783,              0.0010783,              0.0010783
                     30,                 2.0924,                  2.108,                 1.5212,                0.61246,                0.39142,                0.42087,                0.16134,                  1.422,                  2.476,                0.95101,              0.0010441,              0.0010441,              0.0010441
                     31,                 2.0948,                 2.0935,                 1.5049,                  0.623,                0.39054,                0.42262,                0.16002,                 1.4249,                 2.2029,                0.95671,                0.00101,                0.00101,                0.00101
                     32,                 2.1084,                 2.0922,                 1.5155,                0.61128,                 0.3718,                0.40954,                0.16726,                 1.4262,                 2.2594,                0.95937,             0.00097586,             0.00097586,             0.00097586
                     33,                 2.0808,                 2.0755,                  1.508,                0.65813,                 0.3958,                0.43632,                0.17267,                 1.4013,                 2.1944,                0.95698,             0.00094172,             0.00094172,             0.00094172
                     34,                 2.0651,                 2.0395,                 1.4971,                0.66456,                0.38004,                0.42483,                 0.1703,                 1.4001,                 2.1445,                 0.9436,             0.00090759,             0.00090759,             0.00090759
                     35,                   2.06,                 2.0224,                 1.4983,                0.63575,                0.40543,                0.43711,                0.16904,                 1.4168,                 2.1211,                0.94925,             0.00087345,             0.00087345,             0.00087345
                     36,                  2.049,                 2.0132,                  1.487,                 0.6205,                0.39372,                0.43704,                0.17283,                 1.4056,                 2.4114,                 0.9446,             0.00083931,             0.00083931,             0.00083931
                     37,                 2.0575,                 2.0502,                 1.4849,                0.66672,                0.39667,                0.44594,                 0.1724,                 1.4307,                 1.9856,                0.95427,             0.00080517,             0.00080517,             0.00080517
                     38,                 2.0291,                 2.0384,                 1.4762,                0.63512,                 0.4028,                0.43216,                0.17466,                 1.4063,                 2.4404,                0.95019,             0.00077103,             0.00077103,             0.00077103
