                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7065,                 31.386,                 1.3283,                  9e-05,                   0.25,                0.00011,                  2e-05,                 1.8568,                 36.118,                  1.942,                0.00036,                0.00036,                0.00036
                      2,                 1.2569,                 49.261,                0.86906,                  9e-05,                   0.25,                0.00011,                  2e-05,                    nan,                    nan,                    nan,             0.00066674,             0.00066674,             0.00066674
                      3,                  1.867,                 8.7344,                  1.289,                  9e-05,                   0.25,                0.00011,                  2e-05,                   1.69,                    nan,                 26.141,             0.00089824,             0.00089824,             0.00089824
                      4,                 2.0855,                 4.8474,                 1.2298,                  9e-05,                   0.25,                0.00011,                  2e-05,                 2.5375,                    nan,                 54.558,              0.0010545,              0.0010545,              0.0010545
                      5,                 1.3213,                 3.0789,                0.96602,                  9e-05,                   0.25,                0.00011,                  2e-05,                0.73316,                    nan,                 3.7846,              0.0011355,              0.0011355,              0.0011355
                      6,                  1.795,                 3.4188,                 1.0001,                0.00017,                   0.25,                  9e-05,                  1e-05,                 1.7723,                    inf,                 120.21,                0.00101,                0.00101,                0.00101
                      7,                 1.5703,                 3.1596,                0.97216,                0.00017,                   0.25,                  9e-05,                  1e-05,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                      8,                 1.3585,                 2.4594,                0.86358,                0.00017,                   0.25,                  9e-05,                  1e-05,                 1.4904,                 1.5207,                 1.0687,               0.000812,               0.000812,               0.000812
                      9,                 1.7232,                 2.7531,                 1.0229,                0.00017,                   0.25,                  9e-05,                  1e-05,                  1.289,                 1.9786,                 1.1826,               0.000614,               0.000614,               0.000614
                     10,                 2.0384,                 3.0413,                 1.1029,                0.00017,                   0.25,                  9e-05,                  1e-05,                 2.0591,                 2.7506,                 1.3517,               0.000416,               0.000416,               0.000416
