                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6482,                 32.393,                 1.3091,                  9e-05,                   0.25,                  9e-05,                  3e-05,                 1.4681,                 35.759,                 1.8384,                0.00036,                0.00036,                0.00036
                      2,                 1.8393,                 75.448,                 1.3373,                0.00023,                   0.25,                0.00016,                  5e-05,                    nan,                    nan,                    nan,             0.00072535,             0.00072535,             0.00072535
                      3,                 2.0322,                 8.7534,                 1.2992,                0.00013,                   0.25,                  9e-05,                  6e-05,                  1.354,                 6.9572,                 1.8936,              0.0010756,              0.0010756,              0.0010756
                      4,                 2.1485,                  5.455,                 1.2383,                0.00013,                   0.25,                  9e-05,                  6e-05,                    nan,                    nan,                    nan,              0.0014109,              0.0014109,              0.0014109
                      5,                 1.8492,                 3.4844,                 1.1368,                0.00013,                   0.25,                  9e-05,                  6e-05,                    nan,                    nan,                    nan,              0.0017311,              0.0017311,              0.0017311
                      6,                0.98674,                 1.8054,                0.70566,                0.00013,                   0.25,                  9e-05,                  6e-05,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      7,                 1.7289,                 2.9529,                 1.1126,                0.00013,                   0.25,                  9e-05,                  6e-05,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      8,                 1.7461,                  3.106,                 1.0927,                0.00013,                   0.25,                  9e-05,                  6e-05,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.6351,                 2.6558,                0.90789,                0.00013,                   0.25,                  9e-05,                  6e-05,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                     10,                  2.228,                 3.3747,                  1.203,                0.00013,                   0.25,                  9e-05,                  6e-05,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.8333,                 2.5283,                0.95358,                0.00013,                   0.25,                  9e-05,                  6e-05,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.7752,                 3.2191,                   1.18,                0.00013,                   0.25,                  9e-05,                  6e-05,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     13,                 2.1898,                 3.2526,                 1.2284,                0.00013,                   0.25,                  9e-05,                  6e-05,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     14,                  3.006,                 4.4967,                 1.7975,                0.00013,                   0.25,                  9e-05,                  6e-05,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     15,                 2.4858,                 3.8075,                 1.5775,                0.00013,                   0.25,                  9e-05,                  6e-05,                0.08606,                    nan,                  0.035,              0.0014852,              0.0014852,              0.0014852
                     16,                 2.4091,                 3.5318,                 1.3638,                0.00013,                   0.25,                  9e-05,                  6e-05,                 1.7292,                 2.0928,                 1.0586,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.5475,                 2.7093,                 1.0237,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.9343,                 3.8148,                 1.9755,               0.001406,               0.001406,               0.001406
                     18,                   1.96,                 3.0227,                 1.2538,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.9662,                 3.8161,                 1.8552,              0.0013664,              0.0013664,              0.0013664
                     19,                 2.7428,                 3.8578,                 1.6519,                0.00013,                   0.25,                  9e-05,                  6e-05,                0.82197,                 1.8073,                0.77506,              0.0013268,              0.0013268,              0.0013268
                     20,                 2.4748,                 3.6557,                 1.3151,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.8374,                 3.6001,                  1.784,              0.0012872,              0.0012872,              0.0012872
                     21,                  2.249,                 3.9815,                 1.4401,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.8391,                 3.5392,                 1.7682,              0.0012476,              0.0012476,              0.0012476
                     22,                 2.0995,                 3.1236,                 1.2031,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.7985,                  3.492,                 1.7125,               0.001208,               0.001208,               0.001208
                     23,                 2.6201,                 3.6136,                 1.3997,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.7961,                 3.5005,                 1.6526,              0.0011684,              0.0011684,              0.0011684
                     24,                 2.7039,                  4.175,                 1.5236,                0.00013,                   0.25,                  9e-05,                  6e-05,                  2.832,                 3.5122,                 1.6066,              0.0011288,              0.0011288,              0.0011288
                     25,                 2.5926,                 4.0237,                 1.4136,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.9138,                 3.5812,                 1.6039,              0.0010892,              0.0010892,              0.0010892
                     26,                 2.5761,                 3.9885,                 1.5016,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.9139,                 3.6171,                 1.6019,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.9175,                 3.3067,                  1.086,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.9222,                  3.654,                 1.6013,                0.00101,                0.00101,                0.00101
                     28,                 2.2262,                 3.5607,                 1.1539,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.9318,                 3.7068,                 1.5902,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.6301,                 3.2515,                 1.0494,                0.00013,                   0.25,                  9e-05,                  6e-05,                 3.1797,                   4.07,                 2.3009,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.8867,                 3.4263,                 1.1456,                0.00013,                   0.25,                  9e-05,                  6e-05,                  2.977,                 4.0227,                 1.8459,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.8784,                 2.7847,                 0.9581,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.9035,                 3.8073,                 1.5864,              0.0008516,              0.0008516,              0.0008516
                     32,                 2.3354,                 4.0571,                 1.4055,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.9102,                 3.8328,                 1.5991,               0.000812,               0.000812,               0.000812
                     33,                  2.038,                 3.1366,                 1.0193,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.9337,                 3.8818,                 1.5947,              0.0007724,              0.0007724,              0.0007724
                     34,                 2.0304,                 3.3881,                 1.1851,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.9426,                 3.8777,                 1.5959,              0.0007328,              0.0007328,              0.0007328
                     35,                 2.4825,                 4.1382,                 1.3849,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.9283,                 3.8663,                 1.5875,              0.0006932,              0.0006932,              0.0006932
                     36,                 2.4872,                 3.6135,                 1.3675,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.9159,                 3.8253,                 1.5794,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.5494,                  2.661,                0.83026,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.9047,                 3.7975,                 1.5776,               0.000614,               0.000614,               0.000614
                     38,                 2.2458,                 3.1661,                 1.1602,                0.00013,                   0.25,                  9e-05,                  6e-05,                  2.907,                 3.7835,                 1.5821,              0.0005744,              0.0005744,              0.0005744
                     39,                 2.8578,                 4.4368,                 1.6015,                0.00013,                   0.25,                  9e-05,                  6e-05,                  2.861,                 3.7235,                 1.5602,              0.0005348,              0.0005348,              0.0005348
                     40,                 2.3354,                 3.6521,                 1.3662,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.8539,                 3.6978,                   1.55,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.8127,                 3.2069,                 1.0271,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.8419,                 3.6661,                 1.5383,              0.0004556,              0.0004556,              0.0004556
                     42,                 2.1761,                 3.5363,                 1.2606,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.8504,                 3.6546,                 1.5406,               0.000416,               0.000416,               0.000416
                     43,                 1.1712,                 2.1162,                0.64196,                0.00013,                   0.25,                  9e-05,                  6e-05,                 2.8291,                 3.6307,                 1.5323,              0.0003764,              0.0003764,              0.0003764
